label,text
ham,Hey, are we still meeting for lunch tomorrow at noon?
ham,Please find attached the report for this quarter's review.
spam,WINNER!! You have been selected for a $1000 gift card. Click here to claim NOW!
ham,Can you send me the project files when you get a chance?
spam,Congratulations! You've won a FREE iPhone 15. Claim your prize immediately!
ham,The meeting has been rescheduled to 3pm on Friday.
spam,URGENT: Your account has been compromised. Verify your details now or lose access!
ham,I'll be a bit late today, traffic is terrible. See you around 10.
spam,Make $5000 a week working from home! No experience needed. Apply today!
ham,Happy birthday! Hope you have a wonderful day.
spam,You have been pre-approved for a loan of $50,000. No credit check required!
ham,Don't forget to bring the documents to the office tomorrow.
spam,FREE GIFT waiting for you! Click the link below to collect your reward today!
ham,Thanks for your help with the presentation, it went really well.
spam,Act NOW! Limited time offer. Buy one get three FREE. Call 1-800-555-0199.
ham,Can we reschedule our call to next week? I have a conflict Thursday.
spam,Your PayPal account has been suspended. Log in immediately to restore access.
ham,Just checking in to see how the project is going. Let me know if you need anything.
spam,You are the lucky winner of our monthly draw! Claim $10,000 prize today!
ham,I sent you the invoice earlier, please let me know once you receive it.
spam,Lose 30 pounds in 30 days guaranteed! Buy our miracle weight loss supplement now!
ham,The kids had a great time at the park today. The weather was perfect.
spam,ATTENTION: IRS notice. Failure to respond within 24 hours will result in arrest!
ham,Looking forward to seeing everyone at the team dinner on Saturday.
spam,Earn unlimited income online! Join thousands of people making money daily!
ham,Your package has been shipped and will arrive by Thursday.
spam,Click here to unsubscribe or to change your email preferences for future messages.
ham,Great work on the proposal! The client loved it.
spam,Hot singles in your area are waiting to meet you! Sign up for free!
ham,Reminder: your dentist appointment is on Monday at 2:30pm.
